drugA,drugB,cell_line,tissue,sensitivity_A,sensitivity_B,loewe_score,synergy_label,drug_pair_hash,tissue_synergy_rate,sensitivity_diff,sensitivity_product
pdgfr inhibitor,bcl-2 inhibitor,a375,soft tissue,1.3887929935427872,1.2308323430119832,-9.80851860223154,0,-81378968910320177,0.13636363636363635,0.157960650530804,1.7093713342008947
dna-pkcs inhibitor,atm inhibitor,rs4-11,urinary tract,3.164769780395236,0.7319027259094274,3.073277846873715,0,4889008637501081442,0.1,2.4328670544858086,2.316303629147053
jak inhibitor,ctla-4 inhibitor,pc-3,lung,2.4557557155672995,3.456231322288964,-3.2989071203291074,0,1613344647285435,0.2826086956521739,1.0004756067216642,8.487659824033848
il-2 inhibitor,met inhibitor,a431,bone,0.1030624589920929,0.1173328754912339,-4.855502204498827,0,-6744954588533527131,0.10416666666666667,0.014270416499141,0.012092614668739636
mtor inhibitor,ctla-4 inhibitor,mda-mb-453,prostate,0.1513916481165049,1.0846576073901444,-7.926316515489144,0,-3204763751267046506,0.14516129032258066,0.9332659592736394,0.16420810282489887
flt3 inhibitor,braf inhibitor,mewo,head and neck,1.0312518624321754,1.226571159979007,-3.408019384623368,0,1694142083827630907,0.11864406779661017,0.19531929754683164,1.2649037931339446
jak inhibitor,protac degrader,sum-159,soft tissue,0.699939218760098,2.5820125543856736,-2.555158430734317,0,7744664149305955836,0.13636363636363635,1.8820733356255754,1.8072518501454735
atm inhibitor,pd-l1 inhibitor,rs4-11,breast,0.528932183465119,1.7079824391296543,-3.9452995825978334,0,4324316372261291569,0.2318840579710145,1.1790502556645353,0.9034068808489278
pdgfr inhibitor,pd-l1 inhibitor,sk-mel-2,stomach,0.6598003569110232,2.200501283236406,0.1799014074034559,0,-3106965457338016781,0.06557377049180328,1.5407009263253828,1.4518915320625452
proteasome inhibitor,her2 inhibitor,a549,pancreas,3.254010062313432,3.001609087680057,-3.6865520686116096,0,1118403986341127546,0.09259259259259259,0.25240097463337463,9.767266174442346
protac degrader,stat3 inhibitor,sk-mel-2,soft tissue,5.296585189086856,3.96394700031567,4.4212636676986,0,-1033577934216831827,0.13636363636363635,1.332638188771186,20.99538297219725
topoisomerase inhibitor,braf inhibitor,rs4-11,liver,1.0387329683550672,0.7533923521313282,-1.0108372326461217,0,1489616379066196068,0.1527777777777778,0.2853406162237391,0.7825734742653806
mtor inhibitor,bcl-2 inhibitor,caco-2,melanoma,4.7312841364857805,1.5444790698348136,2.112169034778635,0,-7516375854328913931,0.12903225806451613,3.186805066650967,7.307369322243768
mtor inhibitor,flt3 inhibitor,zr-75-1,breast,0.7757289281144991,3.666514364479272,11.03792757286118,1,-5599904075982346015,0.2318840579710145,2.890785436364773,2.8442212578739197
microtubule stabilizer,mek inhibitor,ovcar-3,pancreas,1.2941957719790484,9.103473250571453,-4.040630605811415,0,-2430477487410392799,0.09259259259259259,7.809277478592405,11.78167659121394
