drugA,drugB,cell_line,tissue,sensitivity_A,sensitivity_B,loewe_score,synergy_label
PDGFR inhibitor,BCL-2 inhibitor,A375,soft tissue,1.3887929935427872,1.2308323430119832,-9.80851860223154,0
DNA-PKcs inhibitor,ATM inhibitor,RS4-11,urinary tract,3.1647697803952357,0.7319027259094274,3.073277846873715,0
JAK inhibitor,CTLA-4 inhibitor,PC-3,lung,2.4557557155672995,3.456231322288964,-3.2989071203291074,0
IL-2 inhibitor,MET inhibitor,A431,bone,0.10306245899209292,0.11733287549123396,-4.855502204498827,0
mTOR inhibitor,CTLA-4 inhibitor,MDA-MB-453,prostate,0.15139164811650496,1.0846576073901444,-7.926316515489144,0
FLT3 inhibitor,BRAF inhibitor,MEWO,head and neck,1.0312518624321754,1.226571159979007,-3.408019384623368,0
JAK inhibitor,PROTAC degrader,SUM-159,soft tissue,0.699939218760098,2.5820125543856736,-2.555158430734317,0
ATM inhibitor,PD-L1 inhibitor,RS4-11,breast,0.528932183465119,1.7079824391296545,-3.9452995825978334,0
PDGFR inhibitor,PD-L1 inhibitor,SK-MEL-2,stomach,0.6598003569110232,2.200501283236406,0.17990140740345595,0
Proteasome inhibitor,HER2 inhibitor,A549,pancreas,3.254010062313432,3.001609087680057,-3.6865520686116096,0
PROTAC degrader,STAT3 inhibitor,SK-MEL-2,soft tissue,5.296585189086856,3.96394700031567,4.4212636676986,0
Topoisomerase inhibitor,BRAF inhibitor,RS4-11,liver,1.0387329683550672,0.7533923521313282,-1.0108372326461215,0
mTOR inhibitor,BCL-2 inhibitor,Caco-2,melanoma,4.7312841364857805,1.5444790698348136,2.112169034778635,0
mTOR inhibitor,FLT3 inhibitor,ZR-75-1,breast,0.7757289281144991,3.6665143644792724,11.03792757286118,1
Microtubule stabilizer,MEK inhibitor,OVCAR-3,pancreas,1.2941957719790484,9.103473250571453,-4.0406306058114145,0
ATM inhibitor,NF-kappa-B inhibitor,A375,urinary tract,0.5124417419455772,4.405829067747561,-4.947284478292709,0
HER2 inhibitor,FLT3 inhibitor,U87,melanoma,2.0459489239430892,0.9287343284015575,-1.4577641779511232,0
FLT3 inhibitor,PDGFR inhibitor,MEWO,bone,7.7246679359526444,0.434239753297026,2.9167028009213833,0
Microtubule stabilizer,Proteasome inhibitor,NALM-6,soft tissue,1.850123651620192,1.3443083178799513,-8.8249267335699,0
EGFR inhibitor,Proteasome inhibitor,Huh-7,prostate,0.8857548572133683,2.70681387452814,-8.911378029329338,0
PARP inhibitor,MEK inhibitor,NALM-6,esophageal,2.0872112369509677,1.3567893546702774,2.7547656223639834,0
ATM inhibitor,PARP inhibitor,PC-3,endometrium,0.26231568850462134,1.3201245960149812,-6.8072487094246386,0
MEK inhibitor,PARP inhibitor,ZR-75-1,stomach,4.390316871332613,3.64316461721973,0.03129881674720636,0
Microtubule stabilizer,EGFR inhibitor,SUM-159,ovarian,1.3986683644064692,0.8969658329129896,-1.8568280145879221,0
CDK4/6 inhibitor,Heat shock protein inhibitor,A549,breast,1.1933108238122037,3.9292946446088846,5.800634025289656,1
STAT3 inhibitor,MCL-1 inhibitor,MDA-MB-231,urinary tract,1.7631255210799208,1.0444635241230027,-8.123666352453947,0
ALK inhibitor,CDK4/6 inhibitor,KG-1,breast,1.960506106303654,0.7956877641737563,-8.053255514160831,0
MEK inhibitor,BRAF inhibitor,MV4-11,liver,0.14896397451132995,1.2102356515034258,5.847661544263332,1
NF-kappa-B inhibitor,PARP inhibitor,Caco-2,ovarian,2.29529345904876,2.8747286970940116,4.195679800375563,0
ATM inhibitor,CDK4/6 inhibitor,CCRF-CEM,liver,0.5539635317830209,0.26935444707962614,-3.775033624438686,0
BRAF inhibitor,KRAS inhibitor,Caco-2,urinary tract,2.503195722539067,0.4373551171244483,-5.095868496179576,0
CDK4/6 inhibitor,STAT3 inhibitor,MCF-7,endometrium,3.457961427963438,6.050109024877095,-0.8996601520317125,0
Proteasome inhibitor,STAT3 inhibitor,MOLT-4,ovarian,3.2588578919909588,0.3859359645019424,3.9567290081754667,0
PARP inhibitor,Heat shock protein inhibitor,HeLa,endometrium,1.608161806149805,1.6773973627467769,2.553917492669356,0
JAK inhibitor,Histone deacetylase inhibitor,HepG2,urinary tract,1.4686463600932604,1.731739352196458,4.932254160998298,0
